id;external_id;title;url;original_text;published_at;collected_at;is_duplicate;data_source_id;competitor_id
1;legal;reporter hm;https://miserly-consistency.com;keel yowza glum;2026-06-22T13:53:53;2026-06-22T11:46:30;true;1;1
2;positively;inasmuch healthily boldly;https://plain-scout.name/;unibody aboard meh;2026-06-22T01:38:01;2026-06-22T16:33:46;false;2;2
3;via psst;hefty lumbering;https://short-term-jury.org/;frivolous all;2026-06-22T07:28:37;2026-06-22T13:35:21;true;3;3
4;micromanage;plump indeed;https://neglected-skeleton.biz;tail ugh although;2026-06-22T18:21:14;2026-06-22T08:38:53;true;4;4
5;onto;although yippee forenenst;https://kooky-armchair.org;throughout and;2026-06-22T02:49:14;2026-06-22T15:10:41;false;5;5
6;mmm now;fortunately rich;https://experienced-championship.biz;instead best-seller;2026-06-21T23:58:19;2026-06-22T13:53:20;true;6;6
7;tennis minus;skateboard boohoo;https://usable-adaptation.info/;so yak;2026-06-21T22:55:53;2026-06-22T09:47:44;false;7;7
8;altruistic entwine list;while;https://similar-folklore.biz/;restfully if endow;2026-06-22T06:14:06;2026-06-22T15:16:11;false;8;8
9;wherever innovation rewrite;hopelessly even;https://practical-smog.org;since however planula;2026-06-22T20:26:21;2026-06-22T13:08:47;false;9;9
10;dirty;cleaner splosh especially;https://trivial-cheese.name;meh verbally;2026-06-22T13:51:27;2026-06-22T12:56:33;true;10;10
11;as duh tender;loudly supposing corral;https://ill-fated-foodstuffs.com/;apropos patiently;2026-06-22T13:00:46;2026-06-22T12:33:05;false;11;11
12;how;whose annually;https://idolized-zen.org;likewise gray;2026-06-22T03:00:30;2026-06-22T10:08:49;false;12;12
13;pocket-watch;gosh lightly;https://each-castanet.org/;dead;2026-06-22T07:26:00;2026-06-21T21:46:56;false;13;13
14;airmail tenderly;with whereas wasteful;https://tepid-sandbar.info/;scrabble;2026-06-22T09:10:07;2026-06-22T09:04:58;false;14;14
15;successfully redound;than nor;https://mushy-smog.net/;plain;2026-06-22T15:35:34;2026-06-22T05:12:46;true;15;15
16;past athwart;an singing pace;https://pointed-developing.com;drat;2026-06-22T06:00:08;2026-06-22T19:27:16;true;16;16
17;pulverize;instead inside private;https://separate-palate.org/;yum excited;2026-06-22T00:52:53;2026-06-22T06:23:38;false;17;17
18;squiggly;yowza against snack;https://defensive-jury.biz/;mathematics;2026-06-22T06:28:16;2026-06-22T07:54:20;true;18;18
19;and amongst;merge;https://aching-crest.com/;corrupt yippee cheese;2026-06-22T01:22:43;2026-06-22T04:29:01;true;19;19
20;familiar because;before;https://handy-creator.net;ouch silver;2026-06-22T15:23:49;2026-06-22T12:41:11;true;20;20
21;contractor obediently;smog longingly uh-huh;https://squeaky-bench.net/;and cutover;2026-06-22T01:34:57;2026-06-22T14:48:42;false;21;21
22;torn;whose;https://wry-declaration.com/;mid separate following;2026-06-22T07:05:49;2026-06-22T10:25:01;true;22;22
23;cease;valley pigsty;https://blushing-rim.name;tricky uselessly why;2026-06-22T07:55:08;2026-06-22T07:28:42;true;23;23
24;meh;ah;https://smooth-custody.com;terribly overplay;2026-06-22T05:20:54;2026-06-22T16:29:26;true;24;24
25;corny questioningly;including inasmuch;https://showy-folklore.org;beyond;2026-06-21T23:22:42;2026-06-22T01:51:19;true;25;25
26;queasily explode;and jovially caption;https://fatherly-zebra.org/;scented boo;2026-06-22T11:31:58;2026-06-22T08:23:49;true;26;26
27;manage;below advancement vice;https://defensive-veto.info/;willfully fooey;2026-06-22T11:09:33;2026-06-21T21:21:16;false;27;27
28;alert;indelible;https://infatuated-flat.org;co-producer everlasting;2026-06-21T23:36:04;2026-06-22T14:59:40;true;28;28
29;phooey;muffled until;https://drab-submitter.org;silently unless;2026-06-22T18:12:23;2026-06-22T08:02:40;true;29;29
30;testify gee;providence midst;https://ripe-legging.net/;statue whose appropriate;2026-06-22T14:19:37;2026-06-22T00:31:38;false;30;30
