id;summary;sentiment;topic;entities;risk_source;status;model_name;analyzed_at;error_message;news_item_id
1;ah inside;UNKNOWN;deeply overdue beyond;casement yahoo;yet;FAILED;consequently;2026-06-22T19:00:50;obediently;1
2;finally among above;NEUTRAL;illustrious;implode chubby on;smuggle pleasant fictionalize;PENDING;lest ha for;2026-06-21T22:40:19;gosh comfortable;2
3;terrible down waterspout;POSITIVE;until below;fork;over until mmm;FAILED;deflect lazily;2026-06-21T21:48:51;arbitrate sugary;3
4;indeed since;UNKNOWN;relaunch;carelessly following airport;jumbo;PENDING;sans;2026-06-22T00:43:25;valuable;4
5;tensely boohoo;NEGATIVE;over gee;breakable;ferociously excepting;FAILED;icebreaker;2026-06-22T02:14:26;during although excluding;5
6;rewrite uh-huh whoa;POSITIVE;aha;vacantly kindheartedly;masterpiece yuck;FAILED;ouch bah;2026-06-22T06:47:29;joyfully carelessly;6
7;worriedly properly in;UNKNOWN;with;rim meh insert;pish;FAILED;helpless till abaft;2026-06-22T01:34:50;to yahoo;7
8;even;UNKNOWN;encouragement;pocket-watch;clueless;FAILED;roadway;2026-06-21T21:38:14;mid;8
9;pfft;UNKNOWN;avalanche;natural;nor;SUCCESS;ew;2026-06-22T05:16:32;segregate;9
10;fooey minor;UNKNOWN;woefully;inasmuch;showy;FAILED;ski doubtfully fortunate;2026-06-21T21:35:13;our;10
11;glisten jagged but;POSITIVE;yippee because;unsteady;knavishly;PENDING;mmm wrongly past;2026-06-22T14:38:30;yogurt request;11
12;decisive vice;NEUTRAL;calmly;aha lest deed;psst;FAILED;ugh jump;2026-06-22T18:13:49;cute why quizzically;12
13;kiddingly;UNKNOWN;makeover what;management hopelessly brief;past before;PENDING;hmph uh-huh gee;2026-06-22T12:43:46;provided exaggerate ferret;13
14;meanwhile enfold unless;NEGATIVE;aw whenever till;ditch;federate vision gloomy;FAILED;clamor;2026-06-22T00:43:36;gah firsthand loftily;14
15;dock incandescence;NEGATIVE;snappy nor;whoa boo;but swine abaft;PENDING;squiggly eek against;2026-06-22T12:20:24;during though fooey;15
16;as by;POSITIVE;amidst phew gadzooks;debut if corral;dead direct ugh;SUCCESS;obvious scoop magnificent;2026-06-22T09:35:44;without;16
17;bashfully typeface;NEGATIVE;so since;nervously;amidst;PENDING;community oh whoa;2026-06-22T14:28:38;where barring poppy;17
18;abscond liberalize almost;UNKNOWN;when scrabble blowgun;beyond advertisement ew;except and;FAILED;for fort ick;2026-06-22T12:34:20;yippee collectivization uh-huh;18
19;definite yet between;NEUTRAL;overplay chasuble substantiate;drat super;powerless yum;FAILED;kit;2026-06-22T01:20:57;gift;19
20;concerning;NEGATIVE;deceivingly minty requite;hoick whitewash;glow supposing although;FAILED;entrench bump owlishly;2026-06-22T01:15:29;likewise meh pish;20
21;why;NEGATIVE;commercial;lid meanwhile slap;step ick maestro;SUCCESS;phooey language;2026-06-22T14:43:48;duh;21
22;unknown;UNKNOWN;sunder;economise midst fondly;beret splay lively;SUCCESS;wetly inure before;2026-06-21T21:23:27;instead conversation treble;22
23;advancement;UNKNOWN;astride;blah why;inveigle circumnavigate nudge;FAILED;elevator emboss;2026-06-22T16:49:36;hurtful;23
24;hence;POSITIVE;devastation showboat minor;um versus helplessly;yippee;FAILED;critical before calculus;2026-06-22T13:27:26;anticodon nab;24
25;ultimately whereas;POSITIVE;bathrobe;than drat;ugh majestically;PENDING;beautifully underneath;2026-06-22T11:01:45;oof;25
26;quintessential;UNKNOWN;reconsideration gee foolishly;ruddy and majestically;who male;SUCCESS;sit phew camouflage;2026-06-22T11:10:39;kowtow whimsical blaspheme;26
27;furthermore;NEGATIVE;waltz yak;as;politely provided hmph;FAILED;boo liquid;2026-06-22T00:43:03;odd openly asset;27
28;meanwhile bah quart;NEGATIVE;scorn;cool whoa yahoo;atop till;PENDING;uselessly;2026-06-22T08:07:26;out reschedule;28
29;since to;NEUTRAL;besides babyish alongside;until yum;overcooked even typeface;FAILED;orchestrate;2026-06-22T02:37:19;boom;29
30;pish for;UNKNOWN;quaff;including;mockingly intellect;FAILED;beside;2026-06-22T10:16:52;uh-huh afterwards hmph;30
