id;title;message;severity;status;created_at;read_at;analysis_result_id;analyst_profile_id
1;valley satirise queasily;atop;CRITICAL;ARCHIVED;2026-06-22T19:34:44;2026-06-22T13:22:33;1;1
2;silt through;than whose sharply;HIGH;NEW;2026-06-22T13:22:05;2026-06-22T12:47:07;2;2
3;wallop;quicker punctually whereas;HIGH;ARCHIVED;2026-06-22T08:47:56;2026-06-22T08:56:54;3;2
4;punctual meanwhile;appliance beyond;MEDIUM;READ;2026-06-22T08:07:22;2026-06-22T11:44:10;4;1
5;because ugh;outgoing;CRITICAL;ARCHIVED;2026-06-22T16:00:55;2026-06-22T14:46:54;5;1
6;hastily enfold bah;under;MEDIUM;ARCHIVED;2026-06-22T12:52:54;2026-06-22T02:37:47;6;1
7;extent;ah up deploy;MEDIUM;READ;2026-06-21T22:31:43;2026-06-22T02:10:25;7;2
8;when;jovially playfully;CRITICAL;READ;2026-06-22T02:18:13;2026-06-22T00:52:02;8;1
9;hence spectate;father;LOW;ARCHIVED;2026-06-22T00:04:17;2026-06-21T22:03:22;9;2
10;bar;lazily which;HIGH;ARCHIVED;2026-06-22T18:42:37;2026-06-22T13:38:50;10;1
11;till how enhance;energetically;HIGH;READ;2026-06-22T17:50:09;2026-06-22T10:16:11;11;2
12;embalm gee;snarling our;MEDIUM;NEW;2026-06-22T18:09:56;2026-06-22T04:12:51;12;1
13;weakly inasmuch phew;athwart anenst yellowish;LOW;READ;2026-06-21T22:57:39;2026-06-22T20:40:35;13;2
14;option;pace kooky;MEDIUM;READ;2026-06-22T00:58:30;2026-06-21T20:58:16;14;2
15;anneal quantify hot;neighboring sore grandson;CRITICAL;READ;2026-06-22T06:52:01;2026-06-21T21:45:49;15;1
16;mmm freely;aw consequently;CRITICAL;ARCHIVED;2026-06-22T00:14:20;2026-06-22T15:59:21;16;1
17;a weatherize finally;witty what;CRITICAL;NEW;2026-06-22T20:26:58;2026-06-21T21:12:09;17;1
18;huzzah;coin;HIGH;READ;2026-06-22T16:10:35;2026-06-22T12:05:19;18;2
19;bewail frightened though;unkempt faithfully;LOW;ARCHIVED;2026-06-22T03:12:54;2026-06-22T12:15:15;19;1
20;astride;achieve modulo;CRITICAL;NEW;2026-06-22T13:54:34;2026-06-21T23:00:12;20;1
21;ack behest whoa;frantically if;LOW;READ;2026-06-22T17:49:24;2026-06-22T00:41:36;21;1
22;widow ew;ascertain;HIGH;ARCHIVED;2026-06-22T18:20:17;2026-06-22T08:17:22;22;2
23;preside;roasted geez tinted;LOW;NEW;2026-06-21T22:31:58;2026-06-22T15:04:26;23;2
24;sandy righteously;furthermore finally;HIGH;NEW;2026-06-22T03:15:30;2026-06-22T18:53:16;24;1
25;possible shoddy finished;neck phooey;CRITICAL;ARCHIVED;2026-06-22T17:26:40;2026-06-22T05:04:33;25;1
26;pish;but actually;LOW;NEW;2026-06-22T13:58:50;2026-06-22T04:40:38;26;2
27;frantically trial;incomparable;MEDIUM;ARCHIVED;2026-06-22T11:53:20;2026-06-22T18:01:40;27;1
28;before bidet cheese;lock;MEDIUM;NEW;2026-06-22T01:49:57;2026-06-22T00:47:26;28;2
29;avow rally yet;behind wash wedding;HIGH;READ;2026-06-22T09:56:36;2026-06-22T03:43:00;29;2
30;pave mallard;why;CRITICAL;READ;2026-06-22T20:41:08;2026-06-22T06:40:24;30;1
